KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WSTUK1994004","CS134","STUK01",,5,12,
"WSTUK1994004","CS137","STUK01",,100,4,
"WSTUK1994004","K40","STUK01",,1200,4,
"WSTUK1994005","CS134","STUK01",,4.9,8,
"WSTUK1994005","CS137","STUK01",,110,4,
"WSTUK1994005","K40","STUK01",,1400,4,
"WSTUK1994006","CS134","STUK01",,3.8,9,
"WSTUK1994006","CS137","STUK01",,100,4,
"WSTUK1994006","K40","STUK01",,1200,3,
"WSTUK1994007","CS134","STUK01",,5,8,
"WSTUK1994007","CS137","STUK01",,120,4,
"WSTUK1994007","K40","STUK01",,1700,4,
"WSTUK1994008","CS134","STUK01",,6.3,9,
"WSTUK1994008","CS137","STUK01",,130,4,
"WSTUK1994008","K40","STUK01",,1900,4,
"WSTUK1994009","CS134","STUK01",,14,19,
"WSTUK1994009","CS137","STUK01",,160,6,
"WSTUK1994009","K40","STUK01",,2200,7,
"WSTUK1994010","CS134","STUK01",,4.9,7,
"WSTUK1994010","CS137","STUK01",,130,3,
"WSTUK1994010","K40","STUK01",,1800,4,
"WSTUK1994011","CS134","STUK01",,5,7,
"WSTUK1994011","CS137","STUK01",,120,3,
"WSTUK1994011","K40","STUK01",,1900,4,
"WSTUK1994011","SR90","STUK02",,16,10,
"WSTUK1994012","CS134","STUK01",,5.5,14,
"WSTUK1994012","CS137","STUK01",,130,4,
"WSTUK1994012","K40","STUK01",,2300,4,
"WSTUK1994012","SR90","STUK02",,16,10,
"WSTUK1994013","CS134","STUK01",,2.6,7,
"WSTUK1994013","CS137","STUK01",,59,3,
"WSTUK1994013","K40","STUK01",,1600,4,
"WSTUK1994014","CS134","STUK01",,3.2,10,
"WSTUK1994014","CS137","STUK01",,76,4,
"WSTUK1994014","K40","STUK01",,2100,4,
"WSTUK1994015","CS134","STUK01",,3.7,14,
"WSTUK1994015","CS137","STUK01",,68,4,
"WSTUK1994015","K40","STUK01",,2000,4,
"WSTUK1994015","SR90","STUK02",,16,10,
"WSTUK1994016","CS134","STUK01",,3.7,8,
"WSTUK1994016","CS137","STUK01",,80,4,
"WSTUK1994016","K40","STUK01",,2500,4,
"WSTUK1994016","SR90","STUK02",,15,10,
"WSTUK1994017","CS134","STUK01",,3.2,10,
"WSTUK1994017","CS137","STUK01",,84,4,
"WSTUK1994017","K40","STUK01",,1800,4,
"WSTUK1994018","CS134","STUK01",,2.9,13,
"WSTUK1994018","CS137","STUK01",,73,4,
"WSTUK1994018","K40","STUK01",,1900,4,
"WSTUK1994018","SR90","STUK02",,14,10,
"WSTUK1994019","CS134","STUK01",,1.8,17,
"WSTUK1994019","CS137","STUK01",,52,4,
"WSTUK1994019","K40","STUK01",,1300,4,
"WSTUK1994020","CS134","STUK01",,2.8,7,
"WSTUK1994020","CS137","STUK01",,76,3,
"WSTUK1994020","K40","STUK01",,2600,4,
"WSTUK1994021","CS137","STUK01",,78,4,
"WSTUK1994021","K40","STUK01",,2200,4,
"WSTUK1994022","CS134","STUK01",,3.5,16,
"WSTUK1994022","CS137","STUK01",,79,4,
"WSTUK1994022","K40","STUK01",,3200,4,
"WSTUK1994023","CS134","STUK01",,3.4,6,
"WSTUK1994023","CS137","STUK01",,83,3,
"WSTUK1994023","K40","STUK01",,1600,4,
"WSTUK1994023","SR90","STUK02",,14,10,
"WSTUK1994024","CS134","STUK01",,2,21,
"WSTUK1994024","CS137","STUK01",,76,4,
"WSTUK1994024","K40","STUK01",,3300,4,
"WSTUK1994024","SR90","STUK02",,15,10,
"WSTUK1994025","CS134","STUK01",,3.2,8,
"WSTUK1994025","CS137","STUK01",,81,3,
"WSTUK1994025","K40","STUK01",,2300,4,
"WSTUK1994025","SR90","STUK02",,15,10,
"WSTUK1994026","CS134","STUK01",,3.2,11,
"WSTUK1994026","CS137","STUK01",,68,4,
"WSTUK1994026","K40","STUK01",,4000,4,
"WSTUK1994026","SR90","STUK02",,13,10,
"WSTUK1995001","CS134","STUK01",,2.67,17,
"WSTUK1995001","CS137","STUK01",,70,4,
"WSTUK1995001","K40","STUK01",,1000,3,
"WSTUK1995001","PU239240","STUK03",,0.0058,25,
"WSTUK1995001","SR90","STUK02",,9.5,10,
"WSTUK1995002","CS134","STUK01",,4.4,10,
"WSTUK1995002","CS137","STUK01",,98,3,
"WSTUK1995002","K40","STUK01",,1320,3,
"WSTUK1995002","SR90","STUK02",,12,10,
"WSTUK1995003","CS134","STUK01",,4.4,15,
"WSTUK1995003","CS137","STUK01",,98,4,
"WSTUK1995003","K40","STUK01",,1280,5,
"WSTUK1995004","CS134","STUK01",,4.5,9,
"WSTUK1995004","CS137","STUK01",,119,4,
"WSTUK1995004","K40","STUK01",,1560,4,
"WSTUK1995005","CS134","STUK01",,1.73,24,
"WSTUK1995005","CS137","STUK01",,93,3,
"WSTUK1995005","K40","STUK01",,1310,3,
"WSTUK1995006","CS134","STUK01",,3.2,11,
"WSTUK1995006","CS137","STUK01",,109,3,
"WSTUK1995006","K40","STUK01",,1720,2,
"WSTUK1995007","CS137","STUK01",,122,4,
"WSTUK1995007","K40","STUK01",,1810,4,
"WSTUK1995008","CS134","STUK01",,4.1,7,
"WSTUK1995008","CS137","STUK01",,136,2,
"WSTUK1995008","K40","STUK01",,1800,1,
"WSTUK1995009","CO60","STUK01",,1.18,24,
"WSTUK1995009","CS134","STUK01",,4.4,7,
"WSTUK1995009","CS137","STUK01",,125,3,
"WSTUK1995009","K40","STUK01",,222,3,
"WSTUK1995010","CS134","STUK01",,3.3,21,
"WSTUK1995010","CS137","STUK01",,123,4,
"WSTUK1995010","K40","STUK01",,2060,4,
"WSTUK1995010","SR90","STUK02",,13.1,10,
"WSTUK1995011","CS134","STUK01",,2.71,22,
