KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,ERROR%_kg,< VALUE_Bq/m²,VALUE_Bq/m²,ERROR%_m²,DATE_OF_ENTRY
"SKRIL2012218","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012219","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012220","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012221","CS137",,"<",3,,,,,"08/20/14 00:00:00"
"SKRIL2012222","CS137",,,140,20,,,,"08/20/14 00:00:00"
"SKRIL2012223","CS137",,,28,21,,,,"08/20/14 00:00:00"
"SKRIL2012224","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012225","CS137",,,1.6,50,,,,"08/20/14 00:00:00"
"SKRIL2012226","CS137",,"<",2,,,,,"08/20/14 00:00:00"
"SKRIL2012227","CS137",,,1.6,44,,,,"08/20/14 00:00:00"
"SKRIL2012228","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012229","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012230","CS137",,"<",1,,,,,"08/20/14 00:00:00"
